99,3,10,100,1000,10000,100000
0,3,100,100,100,100,100
5,3,29,29,29,29,29
10,3,29,29,29,29,29
15,3,29,29,29,29,29
20,1,1,1,1,1,1
25,0,0,0,0,0,0
30,0,0,0,0,0,0
